"age","rel_status","gender","gender_text","sex","transgender","transgender_text","masc_feel","fem_feel","masc_present","fem_present","gender_transition","hormones","hormones_text","surgeries","surgeries_text","sex_orient","sex_orient_text","rom_orient","rom_orient_text","sex_orient_best","sex_orient_best_text","asexual","bisexual","demisexual","gay","hetero","lesbian","omnisexual","pansexual","queer","other_sexuality","other_sexuality_text","rom_orient_best","rom_orient_best_text","arom","birom","demirom","heterorom","homorom","omnirom","panrom","other_rom","other_rom_text","sexual_role","race_asian","race_black","race_hispanic","race_nativeam","race_mideast","race_white","race_na","rel_protestant","rel_catholic","rel_mormon","rel_jeworthodox","rel_jewconserve","rel_jewreform","rel_muslim","rel_buddhist","rel_hindu","rel_athiest","rel_agnostic","rel_spirit","rel_na","height_feet","height_inches","education","pol_orient","pol_party","sex_with_males","sex_with_females","sexatt_ident_woman","sexatt_ident_man","sexatt_ident_nonbinary","sexatt_pres_feminine","sexatt_pres_masculine","sexatt_pres_neither","sexatt_pres_both","sexatt_sex_female","sexatt_sex_male","sexatt_sex_intersex","romatt_ident_woman","romatt_ident_man","romatt_ident_nonbinary","romatt_pres_feminine","romatt_pres_masculine","romatt_pres_neither","romatt_pres_both","romatt_sex_female","romatt_sex_male","romatt_sex_intersex","jealous_imagined_1","jealous_imagined_2","jealous_imagined_3","jealous_imagined_4","soi_partnernum","soi_oneocc","soi_short_interest","soi_nolove","soi_casualsex","soi_longterm","soi_fantasies_extrapair","soi_arousal","soi_fantasies_stranger","variety_partnum_5yrs","variety_partnum_1yr","variety_partnum_month","sex_5yrs","sex_2yrs","sex_1yr","sex_6months","sex_3months","sex_1month","sex_1week","sex_1day","sex_1evening","sex_1hour","m_lt_check","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","f_lt_check","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","f_st_check","f_st_health1","f_st_health2","f_st_intell1","f_st_intell2","f_st_kind1","f_st_kind2","f_st_physatt1","f_st_physatt2","f_st_resources1","f_st_resources2","f_st_age","m_st_check","m_st_health1","m_st_health2","m_st_intell1","m_st_intell2","m_st_kind1","m_st_kind2","m_st_physatt1","m_st_physatt2","m_st_resources1","m_st_resources2","m_st_age","PIN","bisexualLT","bisexualST","fltprop","fstprop","mltprop","mstprop","matingprop","prefNaCheck","NAcheck","soi_comp","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","f_st_health","f_st_intell","f_st_kind","f_st_physatt","f_st_resources","m_st_health","m_st_intell","m_st_kind","m_st_physatt","m_st_resources","jealousy_comp","g","so","s","ro","tc","gso","sso","gro","sro","tcg","so_selflabel","ro_selflabel","gso_selflabel","sso_selflabel","gro_selflabel","sro_selflabel","multisexual","ssp_lt_health","ssp_lt_kind","ssp_lt_intell","ssp_lt_resources","ssp_lt_physatt","ssp_lt_age","ssp_st_health","ssp_st_kind","ssp_st_intell","ssp_st_resources","ssp_st_physatt","ssp_st_age","osp_lt_health","osp_lt_kind","osp_lt_intell","osp_lt_resources","osp_lt_physatt","osp_lt_age","osp_st_health","osp_st_kind","osp_st_intell","osp_st_resources","osp_st_physatt","osp_st_age","partnum_pca","sex_time_pca1","sex_time_pca2"
38,4,"0","","0",1,"",4,5,5,5,NA,NA,"",NA,"",0,"",1,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,1,2,1,1,2,3,3,2,3,2,3,3,2,2,2,NA,2,3,2,3,2,3,2,2,0,0,0,0,2,1,2,5,5,5,2,6,6,0,0,0,1,1,2,1,1,1,1,1,1,1,1,4,3,3,3,4,4,3,3,4,3,3,1,2,9,6,2,6,6,8,2,2,6,7,1,3,3,3,3,3,4,3,3,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q652",1,0,0,0,0,NA,0,0.25,0.0743243243243243,3.77777777777778,3.5,3,4,3,3.5,5.5,4,6,5,4,3,3,3.5,3,3.5,NA,NA,NA,NA,NA,0,"woman","het","female","gay","cis","hetwoman","hetfemale","lesbian","gayfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",5.5,6,4,4,5,7,3,3.5,3,3.5,3,3,3.5,4,3,3.5,3,3,NA,NA,NA,NA,NA,NA,-0.970559386322812,-0.604520534995861,-3.01443807735428
19,1,"1","","1",1,"",6,2,6,1,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",9,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,10,4,4,5,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,5,2,3,6,5,5,2,5,1,15,7,3,7,7,7,6,5,4,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,6,5,5,5,9,9,7,7,0,1,9,5,4,5,6,7,8,9,5,8,0,1,8,7,5,5,4,5,9,9,7,8,0,"q15",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.77777777777778,NA,NA,NA,NA,NA,7.5,5.5,5,9,7,7,4.5,6.5,8.5,6.5,7.5,5,4.5,9,7.5,0,"man","het","male","het","cis","hetman","hetmale","hetman","hetmale","cisman","hetero","hetero","heteroman","heteromale","heteroman","heteromale","multi",NA,NA,NA,NA,NA,NA,7.5,4.5,5,7.5,9,0,7.5,5,5.5,7,9,0,7,6.5,4.5,6.5,8.5,0,1.49536360844581,-0.713459933160845,0.752280201160048
42,0,"0","","0",1,"",7,7,7,6,NA,NA,"",NA,"",4,"",4,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",7,"",NA,NA,NA,NA,NA,NA,NA,1,"",5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,1,1,1,0,2,2,2,1,1,1,1,1,1,2,2,2,6,6,6,6,6,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,4,1,0,2,3,5,5,6,5,5,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q520",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,1.33333333333333,10,10,10,10,10,1,4,5.5,5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"woman","notlisted","female","notlisted","cis","notlistedwoman","notlistedfemale","notlistedwoman","notlistedfemale","ciswoman","hetero","notlisted","heterowoman","heterofemale","notlistedwoman","notlistedfemale","multi",1,5.5,4,3.5,5,4,NA,NA,NA,NA,NA,NA,10,10,10,10,10,4,NA,NA,NA,NA,NA,NA,0.0615326657259537,-1.01559223461723,0.262283166648734
31,0,"0","","0",1,"",4,4,5,4,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,6,4,2,1,2,1,3,1,1,3,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1,1,0,1,3,3,4,6,6,4,4,5,4,1,1,1,4,4,4,4,5,5,5,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,3,3,3,3,2,4,3,3,1,4,4,4,3,3,3,4,3,3,5,3,1,4,4,4,4,4,4,3,3,4,5,3,"q608",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.33333333333333,NA,NA,NA,NA,NA,3,2.5,3,2.5,3.5,4,3.5,3,3.5,4,4,4,4,3,4.5,3,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",3,3,2.5,3.5,2.5,3,4,3,3.5,4,3.5,3,NA,NA,NA,NA,NA,NA,4,4,4,4.5,3,3,-0.454513360298429,0.845966119139217,-1.28737533905044
40,4,"0","","0",1,"",2,7,6,7,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,16.5,7,2,2,1,2,2,2,2,2,2,2,2,1,3,2,2,2,1,3,3,1,1,2,2,2,0,1,0,0,2,2,1,9,1,1,1,1,7,4,3,2,7,7,7,7,7,7,7,7,7,7,1,10,10,10,10,10,10,10,10,10,10,4,1,10,10,10,5,10,10,10,5,5,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,10,10,10,10,10,10,10,10,4,"q118",1,0,0,NA,0,0,0,0.333333333333333,0.0990990990990991,2.77777777777778,10,10,10,10,10,10,7.5,10,7.5,7.5,NA,NA,NA,NA,NA,10,10,10,10,10,1,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",10,10,7.5,7.5,7.5,1,NA,NA,NA,NA,NA,NA,10,10,10,10,10,4,10,10,10,10,10,4,0.259234166943998,1.85318649111279,0.404902628683245
48,4,"0","","0",1,"",4,6,1,6,NA,NA,"",NA,"",0,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,3,4,5,1,1,3,3,3,3,3,3,3,3,3,1,3,3,1,2,3,1,2,3,3,1,0,0,0,0,3,2,3,6,5,1,5,4,1,3,2,2,4,3,6,6,5,5,6,7,2,1,1,9,9,8,9,8,7,8,9,7,9,6,1,5,9,6,8,9,9,5,7,7,10,6,1,6,10,9,5,0,6,8,7,6,10,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q599",1,0,0,0,0,NA,0,0.25,0.0743243243243243,3.33333333333333,9,8.5,7.5,8.5,8,7,7,9,6,8.5,8,7,3,7.5,8,NA,NA,NA,NA,NA,0,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","bi","bi","biwoman","bifemale","biwoman","bifemale","multi",7,9,7,8.5,6,6,8,3,7,8,7.5,6,9,7.5,8.5,8,8.5,6,NA,NA,NA,NA,NA,NA,0.0932773936817789,0.70572854034997,-0.777110349696984
75,0,"1","","1",1,"",7,1,7,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,0,4,5,2,1,1,3,2,2,3,1,1,2,3,2,1,3,1,1,3,1,1,1,2,1,1,0,0,1,1,1,8,8,9,9,9,2,3,2,2,2,1,7,7,7,7,7,7,7,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,6,1,5,5,5,5,5,5,5,5,5,5,6,1,5,5,5,5,5,5,5,5,5,5,6,"q467",0,1,0,0,NA,0,0,0.25,0.0743243243243243,5.66666666666667,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,"man","bi","male","het","cis","biman","bimale","hetman","hetmale","cisman","bi","hetero","biman","bimale","heteroman","heteromale","multi",NA,NA,NA,NA,NA,NA,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,-0.28855658703621,0.961472640949328,0.73155875601961
22,2,"0","","0",1,"",1,7,1,7,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,4,6,2,1,1,3,3,3,3,3,3,3,3,3,3,2,3,2,1,3,1,2,2,3,2,1,1,1,1,2,2,2,9,8,7,7,9,1,5,8,4,7,7,7,7,7,7,1,1,1,1,1,9,10,10,10,9,9,9,9,10,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,10,10,10,10,5,5,5,5,1,1,4,10,10,10,10,10,9,10,10,10,1,"q579",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,5.22222222222222,9.5,10,9,9,8,NA,NA,NA,NA,NA,7.5,10,10,5,5,7,10,10,9.5,10,4,"woman","bi","female","het","cis","biwoman","bifemale","hetwoman","hetfemale","ciswoman","bi","hetero","biwoman","bifemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,7.5,10,10,5,5,1,9.5,9,10,8,9,1,7,10,10,10,9.5,1,1.66221762695612,-0.689454893708917,1.14127788594287
40,0,"1","","1",1,"",6,5,6,6,NA,NA,"",NA,"",1,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,1,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,6,4,3,2,NA,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,0,0,0,5,3,3,5,6,4,2,3,2,20,5,1,3,4,6,3,4,4,3,2,5,6,1,2,1,1,1,2,6,2,1,6,2,1,1,1,3,3,1,7,2,8,4,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q50",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,3.66666666666667,1.5,1,4,1.5,4,2,2,4.5,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"man","gay","male","het","cis","gayman","gaymale","hetman","hetmale","cisman","hetero","hetero","heteroman","heteromale","heteroman","heteromale","multi",1.5,4,1,4,1.5,1,NA,NA,NA,NA,NA,NA,2,4.5,2,1,6,3,NA,NA,NA,NA,NA,NA,0.685484652087823,0.666609578569953,-1.41010181920238
37,4,"0","","0",1,"",5,5,5,5,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,3,3,1,1,1,2,3,2,2,2,2,1,2,3,1,2,3,1,2,2,2,1,2,2,2,0,0,0,0,2,2,5,9,2,6,7,2,7,5,2,1,7,7,7,6,6,5,4,4,4,2,1,6,4,6,6,4,6,6,6,7,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,6,6,4,7,7,7,6,4,3,1,4,4,6,6,4,4,7,7,6,4,3,"q711",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.66666666666667,5,6,5,6,6.5,NA,NA,NA,NA,NA,5.5,6,5.5,7,5,4,6,4,7,5,0,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,5.5,5.5,6,5,7,3,5,5,6,6.5,6,3,4,4,6,5,7,3,-0.193322403168735,0.153195826224924,0.624275661220534
25,0,"0","","0",1,"",5,3,5,4,NA,NA,"",NA,"",2,"",2,"",8,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",6,"",NA,NA,NA,NA,NA,1,NA,NA,"",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,2,3,4,2,1,1,2,1,1,3,2,1,3,3,1,1,3,1,1,3,1,1,3,3,1,1,1,1,1,1,1,2,5,5,5,3,7,7,7,1,1,1,3,3,7,7,7,6,5,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,10,8,10,10,10,10,8,8,8,1,1,10,10,10,8,3,10,2,5,10,6,1,1,10,9,10,10,9,10,5,6,7,10,1,"q117",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.66666666666667,NA,NA,NA,NA,NA,10,9,10,9,8,10,9,6.5,3.5,8,9.5,10,9.5,5.5,8.5,4,"woman","bi","female","bi","cis","biwoman","bifemale","biwoman","bifemale","ciswoman","queer","pan","queerwoman","queerfemale","panwoman","panfemale","multi",10,10,9,8,9,1,10,6.5,9,8,3.5,1,NA,NA,NA,NA,NA,NA,9.5,9.5,10,8.5,5.5,1,-0.454513360298429,0.285576349107885,-0.325320665083762
21,0,"0","","0",1,"",1,7,2,6,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",9,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,7,2,1,2,3,3,2,3,3,3,3,3,3,1,1,3,1,1,3,1,2,1,3,1,0,0,0,0,3,4,7,9,9,9,8,8,2,15,5,0,7,7,7,7,7,7,7,5,5,5,1,7,6,10,10,8,10,7,8,10,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,5,5,4,5,6,5,4,4,1,1,8,7,10,7,5,10,8,6,10,5,1,"q245",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,6.55555555555556,6.5,10,9,7.5,8.5,NA,NA,NA,NA,NA,4.5,5,4.5,5.5,4,7.5,8.5,7.5,7,7.5,0,"woman","bi","female","het","cis","biwoman","bifemale","hetwoman","hetfemale","ciswoman","bi","hetero","biwoman","bifemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,4.5,4.5,5,4,5.5,1,6.5,9,10,8.5,7.5,1,7.5,7.5,8.5,7.5,7,1,0.176671759546533,1.18770840192442,0.642813471846869
66,4,"0","","0",1,"",3,5,2,5,NA,NA,"",NA,"",1,"",2,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,0,6,4,1,1,2,2,3,2,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,2,2,0,0,0,0,1,1,1,4,4,4,2,2,2,0,0,0,4,4,4,4,3,2,1,1,1,1,1,8,5,8,7,7,9,7,5,6,5,8,1,8,7,8,8,7,9,7,8,7,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q457",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,2.33333333333333,6.5,7.5,8,6,5.5,7.5,8,8,7.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"woman","gay","female","bi","cis","lesbian","gayfemale","biwoman","bifemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",7.5,8,8,7,7.5,8,NA,NA,NA,NA,NA,NA,6.5,8,7.5,5.5,6,8,NA,NA,NA,NA,NA,NA,-0.970559386322812,-0.815769662652844,-1.15321595023725
50,0,"0","","0",1,"",2,6,2,6,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,5,4,1,1,2,2,3,2,1,3,2,2,2,3,2,2,3,2,2,3,2,2,1,3,2,0,0,1,0,1,5,8,7,6,5,4,5,3,2,1,0,7,7,7,7,7,6,5,1,1,1,1,7,6,9,8,7,7,7,6,9,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,7,8,8,7,7,6,9,8,6,1,5,5,9,9,8,9,6,6,9,9,6,"q466",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.88888888888889,6.5,8.5,7,6.5,8.5,NA,NA,NA,NA,NA,6.5,7.5,7.5,6.5,8.5,5,9,8.5,6,9,1,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,6.5,7.5,7.5,8.5,6.5,6,6.5,7,8.5,8.5,6.5,6,5,8.5,9,9,6,6,-0.772857885104768,-0.394405611310281,1.09436264198729
42,2,"0","","0",1,"",4,6,3,7,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,5,1,1,2,3,2,1,1,1,2,2,3,1,3,3,1,1,1,1,1,3,3,2,0,0,0,0,3,4,2,7,6,3,2,2,1,2,1,1,7,7,7,7,7,7,7,7,7,7,1,5,5,5,5,5,5,5,5,5,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,5,5,3,1,5,5,5,5,5,5,5,5,5,5,3,"q734",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.33333333333333,5,5,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,0,"woman","bi","female","het","cis","biwoman","bifemale","hetwoman","hetfemale","ciswoman","bi","bi","biwoman","bifemale","biwoman","bifemale","multi",NA,NA,NA,NA,NA,NA,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,3,-0.422768632342604,1.85318649111279,0.404902628683245
43,4,"0","","0",1,"",3,5,2,6,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,8,6,6,2,1,2,2,3,1,1,3,1,2,2,3,3,2,3,1,2,3,1,2,2,3,1,0,0,0,0,2,1,1,6,4,2,5,4,3,5,2,1,7,7,7,6,6,6,5,4,4,2,1,5,5,8,8,7,7,8,5,8,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,7,5,5,6,9,8,5,5,2,1,5,5,8,7,7,7,7,7,5,5,3,"q796",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.11111111111111,5,8,7,6.5,7,NA,NA,NA,NA,NA,5,6,5.5,8.5,5,5,7.5,7,7,5,0,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,5,5.5,6,5,8.5,2,5,7,8,7,6.5,4,5,7,7.5,5,7,3,-0.193322403168735,0.313319141540119,0.652321965368822
30,4,"1","","1",1,"",3,7,5,3,NA,NA,"",NA,"",1,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,NA,1,NA,1,NA,"",1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,7,1,1,2,1,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,1,0,0,0,3,4,4,8,7,5,4,7,2,3,2,4,7,6,6,6,7,7,6,6,5,7,1,2,9,2,2,3,8,3,2,6,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,3,3,8,3,0,8,8,1,1,1,7,0,0,1,0,0,3,4,1,1,0,"q191",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.88888888888889,5.5,2,5.5,2.5,3.5,NA,NA,NA,NA,NA,2,3,5.5,4,4.5,3.5,0.5,0,3.5,1,1,"man","gay","male","het","cis","gayman","gaymale","hetman","hetmale","cisman","hetero","hetero","heteroman","heteromale","heteroman","heteromale","multi",5.5,5.5,2,3.5,2.5,0,3.5,0,0.5,1,3.5,0,NA,NA,NA,NA,NA,NA,2,5.5,3,4.5,4,1,0.793455899206107,1.50485051486737,0.0631415337656737
84,4,"0","","0",1,"",1,6,1,7,NA,NA,"",NA,"",0,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,5,2,6,6,2,1,2,1,2,1,1,2,1,1,1,2,1,2,3,2,2,3,2,1,2,3,2,0,0,0,0,2,1,5,9,3,7,4,2,2,1,1,1,5,5,5,4,3,2,1,1,1,1,1,7,7,7,5,5,7,6,7,7,5,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,6,8,8,8,8,5,7,6,5,8,1,8,7,7,6,7,8,6,7,7,6,9,"q376",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.88888888888889,7,6,6,6.5,6,NA,NA,NA,NA,NA,7,8,8,6,5.5,7.5,6.5,7.5,6.5,6.5,0,"woman","het","female","het","cis","hetwoman","hetfemale","hetwoman","hetfemale","ciswoman","hetero","hetero","heterowoman","heterofemale","heterowoman","heterofemale","multi",NA,NA,NA,NA,NA,NA,7,8,8,5.5,6,8,7,6,6,6,6.5,9,7.5,7.5,6.5,6.5,6.5,9,-0.454513360298429,-0.9634189799578,-0.649750602998767
