"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"33","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,6,7,8,7,6,5,6,5,3,"394",1,NA,NA,NA,NA,NA,6,6.5,7.5,5.5,5.5,3,0,NA
"31","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","6","2","1",8,8,9,9,9,9,7,7,8,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"238",1,8,9,9,7,6.5,NA,NA,NA,NA,NA,2,NA,0
"25","0","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","1","1","6","6","2","1",6,6,5,5,7,7,6,7,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"415",1,6,5,7,6.5,5,NA,NA,NA,NA,NA,1,NA,0
"29","2","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,6,6,5,6,7,7,7,7,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"334",1,6.5,5.5,6.5,7,6.5,NA,NA,NA,NA,NA,2,NA,0
"66","4","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","2","2","6","3","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,7,7,6,8,5,6,6,5,7,"81",1,NA,NA,NA,NA,NA,6.5,7,7,5.5,5.5,8,-1,NA
"28","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","3,6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,8,7,6,9,7,5,8,8,2,"214",1,NA,NA,NA,NA,NA,4.5,7.5,7.5,6,8,2,0,NA
"42","4","0","","0","1","","2","","2","","1","1","","1","","7","No label for this","7","Saa","1","1","2","1","6","4","1","1",7,6,7,6,8,8,6,6,5,6,4,6,6,8,7,8,10,7,5,6,7,4,"35",0,6.5,6.5,8,6,5.5,6,7.5,9,6,6.5,4,0,0
"45","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,8,8,7,5,7,7,5,7,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"208",1,7.5,7.5,6,6,7,NA,NA,NA,NA,NA,5,NA,-2
"54","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,10,10,10,10,7,6,10,10,7,"227",1,NA,NA,NA,NA,NA,7,10,10,6.5,10,6,1,NA
"50","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,8,8,8,5,5,7,6,6,"463",1,NA,NA,NA,NA,NA,6,8,8,5,6.5,5,1,NA
