"age","rel_status","gender","gender_text","sex","transgender","transgender_text","masc_feel","fem_feel","masc_present","fem_present","gender_transition","hormones","hormones_text","surgeries","surgeries_text","sex_orient","sex_orient_text","rom_orient","rom_orient_text","sex_orient_best","sex_orient_best_text","asexual","bisexual","demisexual","gay","hetero","lesbian","omnisexual","pansexual","queer","other_sexuality","other_sexuality_text","rom_orient_best","rom_orient_best_text","arom","birom","demirom","heterorom","homorom","omnirom","panrom","other_rom","other_rom_text","sexual_role","race_asian","race_black","race_hispanic","race_nativeam","race_mideast","race_white","race_na","rel_protestant","rel_catholic","rel_mormon","rel_jeworthodox","rel_jewconserve","rel_jewreform","rel_muslim","rel_buddhist","rel_hindu","rel_athiest","rel_agnostic","rel_spirit","rel_na","height_feet","height_inches","education","pol_orient","pol_party","sex_with_males","sex_with_females","sexatt_ident_woman","sexatt_ident_man","sexatt_ident_nonbinary","sexatt_pres_feminine","sexatt_pres_masculine","sexatt_pres_neither","sexatt_pres_both","sexatt_sex_female","sexatt_sex_male","sexatt_sex_intersex","romatt_ident_woman","romatt_ident_man","romatt_ident_nonbinary","romatt_pres_feminine","romatt_pres_masculine","romatt_pres_neither","romatt_pres_both","romatt_sex_female","romatt_sex_male","romatt_sex_intersex","jealous_imagined_1","jealous_imagined_2","jealous_imagined_3","jealous_imagined_4","soi_partnernum","soi_oneocc","soi_short_interest","soi_nolove","soi_casualsex","soi_longterm","soi_fantasies_extrapair","soi_arousal","soi_fantasies_stranger","variety_partnum_5yrs","variety_partnum_1yr","variety_partnum_month","sex_5yrs","sex_2yrs","sex_1yr","sex_6months","sex_3months","sex_1month","sex_1week","sex_1day","sex_1evening","sex_1hour","m_lt_check","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","f_lt_check","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","f_st_check","f_st_health1","f_st_health2","f_st_intell1","f_st_intell2","f_st_kind1","f_st_kind2","f_st_physatt1","f_st_physatt2","f_st_resources1","f_st_resources2","f_st_age","m_st_check","m_st_health1","m_st_health2","m_st_intell1","m_st_intell2","m_st_kind1","m_st_kind2","m_st_physatt1","m_st_physatt2","m_st_resources1","m_st_resources2","m_st_age","PIN","bisexualLT","bisexualST","fltprop","fstprop","mltprop","mstprop","matingprop","prefNaCheck","NAcheck","soi_comp","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","f_st_health","f_st_intell","f_st_kind","f_st_physatt","f_st_resources","m_st_health","m_st_intell","m_st_kind","m_st_physatt","m_st_resources","jealousy_comp","ssp_lt_health","ssp_lt_kind","ssp_lt_intell","ssp_lt_resources","ssp_lt_physatt","ssp_lt_age","ssp_st_health","ssp_st_kind","ssp_st_intell","ssp_st_resources","ssp_st_physatt","ssp_st_age","osp_lt_health","osp_lt_kind","osp_lt_intell","osp_lt_resources","osp_lt_physatt","osp_lt_age","osp_st_health","osp_st_kind","osp_st_intell","osp_st_resources","osp_st_physatt","osp_st_age","partnum_pca","sex_time_pca1","sex_time_pca2"
18,2,"2","","0",1,"",3,5,4,6,NA,NA,"",NA,"",2,"",2,"",6,"",NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",5,"",NA,1,NA,NA,NA,NA,NA,NA,"",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,1,4,5,3,1,2,2,3,3,2,3,2,3,2,3,2,2,3,3,2,3,3,3,3,2,2,1,1,1,1,2,1,1,4,1,1,2,1,1,1,1,1,7,6,5,5,4,3,3,1,1,1,1,5,6,6,7,7,7,5,5,6,6,1,1,4,5,6,6,6,7,5,5,6,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q398",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,1.55555555555556,5.5,6.5,7,5,6,4.5,6,6.5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4.5,6.5,6,6,5,1,NA,NA,NA,NA,NA,NA,5.5,7,6.5,6,5,1,NA,NA,NA,NA,NA,NA,-0.455820735760407,-0.836524668723869,0.0621032644305126
59,4,"0","","0",1,"",3,6,3,6,NA,NA,"",NA,"",1,"",1,"",5,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",4,"",NA,NA,1,NA,NA,NA,NA,NA,"",2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,5,2,1,1,3,1,1,3,1,1,1,3,1,1,3,1,1,3,1,1,1,3,1,1,0,0,0,0,2,8,4,1,1,3,3,3,2,1,1,1,1,1,2,6,5,3,1,1,1,1,1,6,6,7,8,8,9,7,7,8,7,7,1,6,6,7,7,8,8,7,6,7,7,7,1,7,6,7,7,7,8,7,7,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q147",1,0,0,0,0,NA,0,0.25,0.0743243243243243,3,6,7.5,8.5,7,7.5,6,7,8,6.5,7,6.5,7,7.5,7,7,NA,NA,NA,NA,NA,0,6,8,7,7,6.5,7,6.5,7.5,7,7,7,7,6,8.5,7.5,7.5,7,7,NA,NA,NA,NA,NA,NA,-0.455820735760407,-0.217731149216486,-2.09683097988666
32,2,"0","","0",1,"",3,3,5,1,NA,NA,"",NA,"",1,"",2,"",5,"",NA,1,NA,NA,NA,NA,NA,NA,1,NA,"",4,"",NA,1,NA,NA,NA,NA,1,NA,"",3,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,4,2,5,1,1,3,2,2,3,3,3,3,3,2,3,1,2,2,2,1,2,3,3,3,3,1,0,1,0,2,2,7,6,1,5,1,1,1,1,1,1,2,3,5,5,3,6,3,6,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,8,7,1,7,1,2,10,4,2,1,5,6,10,8,5,10,5,6,9,5,4,1,9,10,9,9,9,4,4,10,9,9,2,"q155",0,1,0,0,NA,0,0,0.25,0.0743243243243243,2.88888888888889,NA,NA,NA,NA,NA,2.5,7.5,4,1.5,7,5.5,9,7.5,5.5,7,9.5,9,6.5,7,9,2,2.5,4,7.5,7,1.5,2,5.5,7.5,9,7,5.5,4,NA,NA,NA,NA,NA,NA,9.5,6.5,9,9,7,2,-0.455820735760407,1.23699897767912,-1.75220570629159
21,4,"0","","0",1,"",4,6,4,6,NA,NA,"",NA,"",1,"",1,"",5,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,6,2,2,1,3,1,1,3,3,3,3,3,3,3,3,1,1,1,3,1,3,3,1,3,0,0,1,0,3,6,6,1,7,5,4,4,5,0,1,1,5,1,1,6,7,1,1,1,1,3,1,5,2,5,3,5,4,5,5,5,5,0,1,8,9,7,5,6,9,9,8,5,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q478",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,4.55555555555556,3.5,4,4.5,5,5,8.5,6,7.5,8.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8.5,7.5,6,6,8.5,0,NA,NA,NA,NA,NA,NA,3.5,4.5,4,5,5,0,NA,NA,NA,NA,NA,NA,-0.487609138002967,-0.260219379096809,-1.62911325863465
20,3,"1","","0",2,"",2,5,1,4,1,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,4,4,4,5,2,2,2,2,2,3,2,3,3,2,2,2,3,3,3,2,2,2,2,3,1,2,0,0,1,0,1,1,1,6,1,6,1,5,9,0,0,0,6,6,5,5,3,1,1,1,1,1,1,5,2,4,10,7,8,7,7,5,10,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,0,3,2,2,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,5,1,"q263",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.44444444444444,3.5,7,7.5,7,7.5,NA,NA,NA,NA,NA,4,1.5,2,1,2,5,5,5,5,5,1,NA,NA,NA,NA,NA,NA,4,2,1.5,2,1,1,3.5,7.5,7,7.5,7,1,5,5,5,5,5,1,-0.973075166180957,-1.13835373472781,-0.229699592719021
21,0,"0","","0",1,"",6,3,5,2,NA,NA,"",NA,"",1,"",1,"",5,"",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,4,6,5,2,1,1,3,1,2,1,2,2,1,3,2,2,3,1,3,3,2,2,3,1,3,2,0,0,1,0,3,4,1,4,7,3,4,6,7,7,2,1,6,4,4,3,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,5,3,6,8,6,9,7,3,1,1,6,6,5,5,7,6,5,8,8,3,1,1,3,7,5,5,5,9,8,10,5,6,1,"q87",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.33333333333333,NA,NA,NA,NA,NA,4,4,7,7.5,5,6,5,6.5,6.5,5.5,5,5,7,9,5.5,1,4,7,4,5,7.5,1,6,6.5,5,5.5,6.5,1,NA,NA,NA,NA,NA,NA,5,7,5,5.5,9,1,-0.129859869482145,-1.12084317813468,-1.11640368398333
27,4,"0","","1",3,"",3,4,4,4,NA,NA,"",NA,"",1,"",1,"",6,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,6,4,3,1,1,3,2,2,2,1,2,2,2,3,2,1,1,2,2,2,1,2,1,2,3,0,1,0,1,5,4,3,5,6,5,4,6,3,2,1,1,4,6,4,4,3,5,4,6,4,4,1,3,6,8,6,8,2,8,8,3,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,4,9,4,4,4,3,3,0,3,1,5,2,4,9,6,8,4,3,2,4,2,"q441",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.55555555555556,4.5,7,5,8,4,NA,NA,NA,NA,NA,5,6.5,4,3.5,1.5,3.5,6.5,7,3.5,3,2,4.5,5,7,4,8,6,3.5,7,6.5,3,3.5,2,NA,NA,NA,NA,NA,NA,5,4,6.5,1.5,3.5,3,-0.424032333517847,0.769195362823337,-1.13214757686727
48,4,"1","","1",1,"",5,1,7,1,NA,NA,"",NA,"",2,"",0,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,11,7,7,2,1,1,3,3,2,1,3,1,2,3,3,1,3,3,2,1,3,1,2,3,3,2,0,0,1,0,8,5,3,9,9,9,3,7,2,50,11.6,4,1,1,1,5,6,5,7,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,7,6,5,4,5,5,6,5,2,1,4,5,5,4,5,6,5,3,4,4,3,1,8,9,3,4,5,3,5,3,3,3,2,"q162",0,1,0,0,NA,0,0,0.25,0.0743243243243243,6.11111111111111,NA,NA,NA,NA,NA,5,6.5,4.5,5,5.5,4.5,4.5,5.5,4,4,8.5,3.5,4,4,3,1,NA,NA,NA,NA,NA,NA,8.5,4,3.5,3,4,2,5,4.5,6.5,5.5,5,2,4.5,5.5,4.5,4,4,3,3.58596050011306,2.52634569244697,-2.97265670005769
23,0,"0","","0",1,"",5,2,4,2,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,4,1,2,1,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,3,3,2,0,0,0,0,1,1,1,2,1,2,6,1,1,0,0,0,4,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,8,5,3,4,5,5,5,4,0,1,5,1,5,1,1,1,5,5,5,4,0,"q62",0,1,NA,0,NA,0,0,0.333333333333333,0.0990990990990991,1.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,6.5,3.5,5,4.5,3,3,1,5,4.5,0,NA,NA,NA,NA,NA,NA,5.5,3.5,6.5,4.5,5,0,NA,NA,NA,NA,NA,NA,3,1,3,4.5,5,0,-0.973075166180957,-0.767973551600666,-2.69011920124549
26,3,"1","","1",1,"",5,5,5,5,NA,NA,"",NA,"",2,"",0,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,1,NA,NA,NA,NA,NA,"",1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,11,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,0,0,1,4,3,7,6,6,3,4,4,4,5,7,4,3,4,4,3,5,5,4,6,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,3,2,2,2,9,4,10,2,2,5,1,3,3,7,2,9,5,5,1,8,3,3,1,3,6,5,3,2,4,2,3,3,5,2,"q463",0,1,0,0,NA,0,0,0.25,0.0743243243243243,4.55555555555556,NA,NA,NA,NA,NA,6,2,5.5,7,2,3,4.5,7,3,5.5,4.5,4,3,2.5,4,1,NA,NA,NA,NA,NA,NA,4.5,3,4,4,2.5,2,6,5.5,2,2,7,5,3,7,4.5,5.5,3,3,1.5334223162125,1.01309537240858,-1.6081077309973
37,4,"0","","0",1,"",4,4,4,4,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,11,3,4,1,1,1,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,1,1,1,5,5,5,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,8,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q755",1,0,0,NA,0,NA,0,0.333333333333333,0.0990990990990991,2.33333333333333,5,5,5,6.5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,4,NA,NA,NA,NA,NA,NA,5,5,5,5,6.5,4,NA,NA,NA,NA,NA,NA,-0.455820735760407,0.637594776368345,-1.38507947465247
18,2,"0","","0",1,"",2,6,2,6,NA,NA,"",NA,"",0,"",0,"",1,"",NA,1,NA,NA,1,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,4,4,5,1,1,3,3,2,2,3,2,2,2,3,2,2,3,2,2,3,2,2,2,3,2,1,1,1,1,6,6,5,9,7,7,6,5,4,10,4,1,7,7,6,6,6,5,4,4,3,1,1,6,5,5,6,6,6,7,4,4,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,7,7,7,6,4,5,0,1,6,6,5,5,7,5,7,6,4,5,0,"q443",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,6.11111111111111,5.5,5.5,6,5.5,4.5,NA,NA,NA,NA,NA,5,5.5,7,6.5,4.5,6,5,6,6.5,4.5,4,NA,NA,NA,NA,NA,NA,5,7,5.5,4.5,6.5,0,5.5,6,5.5,4.5,5.5,0,6,6,5,4.5,6.5,0,0.235966242891338,-0.0438902977547288,0.550850915601248
34,4,"1","","1",1,"",6,2,4,4,NA,NA,"",NA,"",0,"",4,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",5,"",1,NA,NA,NA,NA,NA,NA,NA,"",2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,6,5,1,1,1,3,2,3,2,2,2,1,1,3,2,3,2,2,2,2,3,1,3,2,3,1,0,1,0,6,6,6,6,6,3,5,4,8,2,0,1,2,3,5,6,4,7,2,4,6,2,1,2,9,3,4,4,8,1,8,5,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,4,8,2,4,5,5,5,3,1,5,6,1,2,3,5,2,2,8,2,1,"q665",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,5.55555555555556,5.5,3.5,6,4.5,5,NA,NA,NA,NA,NA,4.5,5,5,4.5,5,5.5,1.5,4,2,5,2,5.5,6,3.5,5,4.5,2,5.5,4,1.5,5,2,1,NA,NA,NA,NA,NA,NA,4.5,5,5,5,4.5,3,-0.559262786340748,0.830315779793767,-1.37180225021773
19,1,"0","","0",1,"",3,6,3,7,NA,NA,"",NA,"",0,"",2,"",1,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"",6,"",NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,4,5,1,1,2,2,3,3,2,2,2,3,3,2,2,2,2,3,2,2,3,1,1,3,0,0,0,0,2,3,3,7,7,5,5,5,6,10,2,1,7,5,6,7,6,6,6,6,5,4,1,6,7,8,4,6,8,5,5,7,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,6,8,6,7,7,6,7,7,2,1,7,6,7,6,6,6,5,8,6,6,1,"q3",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,4.77777777777778,6.5,6,7,5,5,NA,NA,NA,NA,NA,6.5,7,6.5,6.5,7,6.5,6.5,6,6.5,6,0,NA,NA,NA,NA,NA,NA,6.5,6.5,7,7,6.5,2,6.5,7,6,5,5,1,6.5,6,6.5,6,6.5,1,-0.0344946627544639,1.10565980753848,0.0497682752836028
26,2,"0","","0",1,"",1,6,1,6,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,6,4,2,1,1,3,3,2,3,3,2,1,3,3,1,3,3,2,3,3,2,1,3,3,1,0,0,0,1,2,1,3,1,5,3,1,3,1,1,1,1,2,6,6,2,2,1,1,1,2,1,1,7,7,7,7,8,7,7,8,8,8,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,7,3,6,3,4,8,7,4,5,2,1,8,7,7,7,9,8,5,7,7,7,2,"q759",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,2.22222222222222,7,7,7.5,7.5,8,NA,NA,NA,NA,NA,7,4.5,3.5,7.5,4.5,7.5,7,8.5,6,7,1,NA,NA,NA,NA,NA,NA,7,3.5,4.5,4.5,7.5,2,7,7.5,7,8,7.5,2,7.5,8.5,7,7,6,2,-0.455820735760407,-0.88603845168203,-1.16975354659254
41,1,"1","","1",1,"",7,1,6,1,NA,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3,3,1,1,1,3,2,3,2,3,1,1,2,3,1,3,3,2,3,3,1,2,3,3,2,1,1,0,0,1,2,6,1,3,8,6,2,1,1,1,0,7,7,7,7,7,5,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,4,1,2,3,6,2,3,1,1,1,1,6,9,0,8,8,8,9,9,2,1,1,10,2,1,6,1,4,3,4,1,5,"q589",0,1,0,0,NA,0,0,0.25,0.0743243243243243,3.33333333333333,NA,NA,NA,NA,NA,4,3.5,1.5,4.5,2.5,1,7.5,4,8,9,5.5,1.5,3.5,3.5,2.5,2,NA,NA,NA,NA,NA,NA,5.5,3.5,1.5,2.5,3.5,5,4,1.5,3.5,2.5,4.5,1,1,4,7.5,9,8,2,-0.806056311115495,-0.830345456206461,1.07882629672171
19,0,"0","","0",1,"",4,6,4,4,NA,NA,"",NA,"",1,"",1,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,"",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,5,1,1,1,1,3,2,1,3,2,3,2,3,3,2,2,1,2,3,1,2,3,2,3,3,1,1,0,1,2,2,4,4,5,5,2,3,1,2,1,1,2,3,2,4,5,6,3,3,3,4,1,10,7,8,7,1,7,10,9,9,8,1,1,7,0,8,9,8,8,7,8,8,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,9,9,6,8,8,7,7,2,3,3,"q178",1,0,0,NA,0,0,0,0.333333333333333,0.0990990990990991,3.11111111111111,8.5,7.5,4,9.5,8.5,3.5,8.5,8,7.5,7.5,NA,NA,NA,NA,NA,8,7.5,8,7,2.5,3,3.5,8,8.5,7.5,7.5,2,NA,NA,NA,NA,NA,NA,8.5,4,7.5,8.5,9.5,1,8,8,7.5,2.5,7,3,-0.424032333517847,0.75658100047594,-2.006561349474
51,0,"0","","0",1,"",3,5,2,6,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,NA,NA,1,NA,NA,"",3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,9,4,4,5,1,1,2,2,2,2,2,1,3,2,2,2,2,3,3,2,2,1,3,2,2,2,0,0,0,0,1,3,4,9,4,7,5,7,5,5,2,1,6,6,6,5,4,3,3,1,1,1,1,5,5,7,8,5,8,4,3,6,4,5,1,5,6,7,6,6,7,3,4,5,5,4,1,5,6,7,8,8,7,4,3,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q811",1,0,0,0,0,NA,0,0.25,0.0743243243243243,5,5,7.5,6.5,3.5,5,5.5,6.5,6.5,3.5,5,5.5,7.5,7.5,3.5,5,NA,NA,NA,NA,NA,0,5.5,6.5,6.5,5,3.5,4,5.5,7.5,7.5,5,3.5,4,5,6.5,7.5,5,3.5,5,NA,NA,NA,NA,NA,NA,-0.193436673967265,-0.802997545210796,0.0628195942821246
56,1,"1","","1",1,"",7,1,6,1,NA,NA,"",NA,"",2,"",2,"",1,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"",NA,1,NA,1,1,NA,NA,NA,"",3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,10,6,3,1,1,1,2,3,1,2,3,2,2,3,3,1,2,3,1,1,3,2,2,2,3,1,0,0,0,0,9,9,9,9,9,9,9,9,9,25,10,2,7,7,7,7,7,7,7,7,7,7,1,10,10,8,8,10,10,8,8,9,9,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,10,7,7,7,8,0,7,5,8,4,1,10,10,9,10,10,10,10,10,10,10,2,"q135",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,9,10,8,10,8,9,NA,NA,NA,NA,NA,9,7,7.5,3.5,6.5,10,9.5,10,10,10,0,10,10,8,9,8,4,10,10,9.5,10,10,2,NA,NA,NA,NA,NA,NA,9,7.5,7,6.5,3.5,4,1.87441056882224,1.84979326716872,0.409050365328342
21,2,"1","","0",2,"",5,2,5,2,1,NA,"",NA,"",2,"",1,"",1,"",NA,1,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,6,3,4,5,1,2,2,2,2,2,3,2,3,2,2,2,1,3,1,1,3,2,3,2,2,2,0,0,0,0,2,2,4,9,2,4,2,2,2,1,1,1,6,6,6,6,5,5,5,3,3,3,1,8,7,7,7,6,10,7,7,5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,6,5,5,5,5,7,7,4,4,1,1,7,6,6,5,5,5,9,7,4,4,1,"q1",0,1,NA,0,0,0,0,0.333333333333333,0.0990990990990991,3.22222222222222,7.5,7,8,7,5,NA,NA,NA,NA,NA,6,5,5,7,4,6.5,5.5,5,8,4,0,NA,NA,NA,NA,NA,NA,6,5,5,4,7,1,7.5,8,7,5,7,1,6.5,5,5.5,4,8,1,-0.455820735760407,0.241631904307505,0.0675574536794164
18,1,"1","","1",1,"",4,2,4,6,NA,NA,"",NA,"",1,"",1,"",3,"",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,1,NA,NA,NA,"",2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,7,6,4,5,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,4,4,5,4,6,5,5,5,4,1,2,2,4,4,3,4,5,3,5,3,4,5,1,3,4,3,3,3,2,3,3,3,3,3,1,3,3,4,3,2,3,3,2,3,3,4,1,2,4,4,4,3,3,4,4,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"q659",1,0,0,0,0,NA,0,0.25,0.0743243243243243,4.66666666666667,3.5,3,2.5,3,3,3,3.5,2.5,2.5,3,3,4,3,4,3.5,NA,NA,NA,NA,NA,0,3.5,2.5,3,3,3,3,NA,NA,NA,NA,NA,NA,3,2.5,3.5,3,2.5,4,3,3,4,3.5,4,4,0.0296452924175825,0.745020791325035,-1.53240859213564
